Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2009-05-01,1.323294,1.332694,1.323294,1.326805,1.326805,-0.003511,1.327994,0.0094,1.32652175
2009-05-04,1.328286,1.343996,1.321493,1.341868,1.341868,-0.013582,1.3327445,0.022503,1.33391075
2009-05-05,1.341904,1.343689,1.328992,1.331593,1.331593,0.010311,1.3363405,0.014697,1.3365445
2009-05-06,1.331717,1.337202,1.324802,1.331292,1.331292,0.000425,1.331002,0.0124,1.33125325
2009-05-07,1.331576,1.347092,1.325504,1.339208,1.339208,-0.007632,1.336298,0.021588,1.335845
2009-05-08,1.339567,1.365206,1.334543,1.363903,1.363903,-0.024336,1.3498745,0.030663,1.35080475
2009-05-11,1.362398,1.366792,1.356208,1.358991,1.358991,0.003407,1.3615,0.010584,1.36109725
2009-05-12,1.359102,1.370802,1.356797,1.364498,1.364498,-0.005396,1.3637995,0.014005,1.36279975
2009-05-13,1.364592,1.3721,1.357497,1.358862,1.358862,0.00573,1.3647985,0.014603,1.36326275
2009-05-14,1.359305,1.366475,1.353198,1.363605,1.363605,-0.0043,1.3598365,0.013277,1.36064575
2009-05-15,1.363568,1.364796,1.346493,1.350202,1.350202,0.013366,1.3556445,0.018303,1.35626475
2009-05-18,1.348127,1.356392,1.342805,1.355803,1.355803,-0.007676,1.3495985,0.013587,1.35078175
2009-05-19,1.356153,1.366792,1.353491,1.363234,1.363234,-0.007081,1.3601415,0.013301,1.3599175
2009-05-20,1.363234,1.382992,1.358493,1.377297,1.377297,-0.014063,1.3707425,0.024499,1.370504
2009-05-21,1.37741,1.392525,1.3734,1.390608,1.390608,-0.013198,1.3829625,0.019125,1.38348575
2009-05-22,1.39053,1.405007,1.390356,1.400305,1.400305,-0.009775,1.3976815,0.014651,1.3965495
2009-05-25,1.402426,1.403469,1.39659,1.400697,1.400697,0.001729,1.4000295,0.006879,1.4007955
2009-05-26,1.400482,1.402308,1.386194,1.399404,1.399404,0.001078,1.394251,0.016114,1.397097
2009-05-27,1.399306,1.400207,1.382399,1.383394,1.383394,0.015912,1.391303,0.017808,1.3913265
2009-05-28,1.383585,1.398093,1.379596,1.393107,1.393107,-0.009522,1.3888445,0.018497,1.38859525
2009-05-29,1.393088,1.416511,1.392796,1.415709,1.415709,-0.022621,1.4046535,0.023715,1.404526
2009-06-01,1.411891,1.424501,1.410258,1.41639,1.41639,-0.004499,1.4173795,0.014243,1.41576
2009-06-02,1.41611,1.43324,1.410636,1.430861,1.430861,-0.014751,1.421938,0.022604,1.42271175
2009-06-03,1.430738,1.433692,1.411194,1.414968,1.414968,0.01577,1.422443,0.022498,1.422648
2009-06-04,1.415508,1.423609,1.4074,1.417796,1.417796,-0.002288,1.4155045,0.016209,1.41607825
2009-06-05,1.417917,1.426798,1.393592,1.397194,1.397194,0.020723,1.410195,0.033206,1.40887525
2009-06-08,1.393981,1.399972,1.381082,1.390298,1.390298,0.003683,1.390527,0.01889,1.39133325
2009-06-09,1.391401,1.4099,1.385502,1.406331,1.406331,-0.01493,1.397701,0.024398,1.3982835
2009-06-10,1.405995,1.414267,1.391808,1.398386,1.398386,0.007609,1.4030375,0.022459,1.402614
2009-06-11,1.398406,1.417495,1.395401,1.411094,1.411094,-0.012688,1.406448,0.022094,1.405599
2009-06-12,1.410895,1.413008,1.394292,1.400109,1.400109,0.010786,1.40365,0.018716,1.404576
2009-06-15,1.398562,1.400149,1.376122,1.378493,1.378493,0.020069,1.3881355,0.024027,1.3883315
2009-06-16,1.378607,1.39299,1.375194,1.382992,1.382992,-0.004385,1.384092,0.017796,1.38244575
2009-06-17,1.38303,1.397995,1.381196,1.393806,1.393806,-0.010776,1.3895955,0.016799,1.38900675
2009-06-18,1.393709,1.399992,1.387598,1.391498,1.391498,0.002211,1.393795,0.012394,1.39319925
2009-06-19,1.391401,1.400207,1.3886,1.3947,1.3947,-0.003299,1.3944035,0.011607,1.393727
2009-06-22,1.393825,1.393922,1.383011,1.38652,1.38652,0.007305,1.3884665,0.010911,1.3893195
2009-06-23,1.386501,1.410815,1.383202,1.407202,1.407202,-0.020701,1.3970085,0.027613,1.39693
2009-06-24,1.407678,1.413807,1.389236,1.394097,1.394097,0.013581,1.4015215,0.024571,1.4012045
2009-06-25,1.394,1.401169,1.389294,1.398562,1.398562,-0.004562,1.3952315,0.011875,1.39575625
2009-06-26,1.398562,1.411612,1.398562,1.405304,1.405304,-0.006742,1.405087,0.01305,1.40351
2009-06-29,1.406213,1.410199,1.398504,1.408609,1.408609,-0.002396,1.4043515,0.011695,1.40588125
2009-06-30,1.408788,1.415108,1.40058,1.403883,1.403883,0.004905,1.407844,0.014528,1.40708975
2009-07-01,1.403903,1.419991,1.400403,1.414087,1.414087,-0.010184,1.410197,0.019588,1.409596
2009-07-02,1.413308,1.414887,1.393553,1.395751,1.395751,0.017557,1.40422,0.021334,1.40437475
2009-07-03,1.396063,1.402741,1.394642,1.396005,1.396005,0.000058,1.3986915,0.008099,1.39736275
2009-07-06,1.39579,1.399796,1.388368,1.397702,1.397702,-0.001912,1.394082,0.011428,1.395414
2009-07-07,1.397663,1.405007,1.390588,1.391595,1.391595,0.006068,1.3977975,0.014419,1.39621325
